date,avg_sentiment
2023-04-04,-0.0016099999999999893
2023-04-05,0.4316636363636364
2023-04-06,0.1555375
2023-04-07,-0.09441428571428571
2023-04-08,0.6307999999999999
2023-04-09,0.97445
2023-04-10,0.05507499999999996
2023-04-11,0.4572421052631579
2023-04-12,0.5816666666666667
2023-04-13,0.2368941176470588
2023-04-14,0.21487000000000003
2023-04-15,0.14007142857142857
2023-04-16,-0.13077499999999997
2023-04-17,0.49326250000000005
2023-04-18,0.3639833333333333
2023-04-19,0.198775
2023-04-20,0.7282428571428571
2023-04-21,-0.19819230769230772
2023-04-22,0.383925
2023-04-23,-0.45208750000000003
2023-04-24,0.5540428571428572
2023-04-25,0.29949166666666666
2023-04-26,0.49292222222222226
2023-04-27,0.2840923076923077
2023-04-28,0.5027666666666666
